1.12279,0.0378619,0.042956,1.0607,0.0666893,0.0627905,1.12671,0.0543647,0.0715281
2.25533,0.22896,0.194329,2.11512,0.199805,0.125581,2.2513,0.189052,0.160487
3.38642,0.439928,0.106778,3.15911,0.398823,0.188372,3.30412,0.423265,0.171522
4.45429,0.729277,0.0967322,4.18855,0.662958,0.251162,4.4111,0.657058,0.149687
5.52219,0.95211,0.100187,5.19939,0.991169,0.313953,5.47938,0.851285,0.133376
6.3864,1.04467,0.131121,6.18765,1.38216,0.376743,6.49803,1.04298,0.146233
7.40395,1.18584,0.162681,7.14942,1.8344,0.439534,7.44452,1.26623,0.190144
8.37899,1.44927,0.40357,8.08092,2.34609,0.502324,8.44929,1.54068,0.292814
9.40107,1.99963,0.482522,8.97848,2.91523,0.565115,9.36639,1.91816,0.429269
10.3648,2.66786,0.518612,9.83855,3.53957,0.627905,10.3773,2.45599,0.491318
11.3017,3.26351,0.601081,10.6578,4.21665,0.690696,11.3502,3.05261,0.56173
12.2063,3.98473,0.79128,11.4329,4.94379,0.753486,12.2549,3.74239,0.692597
12.8723,4.58521,0.80315,12.1608,5.71814,0.816277,13.0057,4.44655,0.760532
13.5857,5.49598,0.83518,12.8387,6.53664,0.879067,13.7323,5.20485,0.778551
14.0891,6.20313,0.999845,13.4639,7.39607,0.941858,14.2438,6.06215,0.927837
14.7709,7.17927,1.0005,14.034,8.29304,1.00465,14.8185,7.16244,1.02261
15.1348,8.28172,1.13651,14.5467,9.22401,1.06744,15.3313,7.96326,1.12334
15.5954,9.19363,1.18688,14.9999,10.1853,1.13023,15.7045,8.956,1.16869
15.9896,10.2182,1.22999,15.3919,11.1732,1.19302,16.0835,9.96663,1.23811
16.3752,11.2386,1.23029,15.7212,12.1837,1.25581,16.5638,11.0072,1.24611
16.7791,12.3802,1.34666,15.9864,13.2128,1.3186,17.0669,11.8879,1.27158
16.9552,13.5796,1.16505,16.1865,14.2566,1.38139,17.53,12.7515,1.19526
17.1682,14.6817,1.34266,16.3207,15.3109,1.44418,18.0086,13.6108,1.25502
17.1133,15.6335,1.36915,16.3885,16.3715,1.50697,17.1534,15.6851,1.35441
17.3121,16.7503,1.39324,16.3896,17.4343,1.56976,17.5905,16.3946,1.39463
17.5262,17.7229,1.4577,16.324,18.4951,1.63255,17.7665,17.4647,1.43305
17.633,18.8118,1.36363,16.1919,19.5496,1.69534,18.0288,18.4964,1.34922
17.9979,20.0699,1.47379,15.994,20.5938,1.75813,18.6742,19.3905,1.401
18.0487,21.0774,1.52379,15.7309,21.6236,1.82092,18.6337,20.5482,1.45266
18.0112,22.1377,1.50648,15.4038,22.6347,1.88372,18.6715,21.5898,1.47827
